                                                 28 Nov 2023 15:59:33
Civil Air Patrol Use Only
FigureOfMerit-revisittime


                         Coverage Properties                         
---------------------------------------------------------------------
LatLon Region Coverage                                               
Grid Altitude: 0.0000 (km)                                           
Ground Altitude set from grid altitude reference (On ellipsoid)      
Resolution: 1.0000 (deg)                                             
Number of Points: 14472                                              
Assets required for a valid access: At Least 1                       
Assigned Assets:                                                     
    Satellite/mysat/Sensor/mysen:    Active                          
Access Interval: 28 Nov 2023 04:00:00.000 to 29 Nov 2023 04:00:00.000
Regional Acceleration: Automatic                                     
Light time delay: Ignored                                            
Maximum Sampling Time Step: 360.000 secs                             
Minimum Sampling Time Step: 0.010 secs                               
Time Convergence: 5.000e-03 secs                                     
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14           


                 FOM Properties                 
------------------------------------------------
Maximum Revisit Time                            
Minimum number of assets required: 1            
Gaps at ends of analysis interval are considered
Satisfaction is not enabled                     
FOM value range check is not enabled.           


Latitude (deg)    Longitude (deg)    FOM Value (sec)
       -29.524            318.333          25709.773
       -29.524            319.444          25714.551
       -29.524            320.556          25719.971
       -29.524            321.667          25725.999
       -29.524            322.778          25732.610
       -29.524            323.889          24112.517
       -29.524            325.000          24110.515
       -29.524            326.111          24109.389
       -29.524            327.222          24109.217
       -29.524            328.333          24110.111
       -29.524            329.444          24112.201
       -29.524            330.556          24115.641
       -29.524            331.667          24120.671
       -29.524            332.778          24127.586
       -29.524            333.889          24136.849
       -29.524            335.000          24149.171
       -29.524            336.111          24165.781
       -29.524            337.222          24189.285
       -29.524            338.333          24227.833
       -29.524            339.444          29826.056
       -29.524            340.556          29819.115
       -29.524            341.667          29812.738
       -29.524            342.778          29806.950
       -29.524            343.889          29801.788
       -29.524            345.000          29797.280
       -29.524            346.111          29793.463
       -29.524            347.222          29790.382
       -29.524            348.333          29788.092
       -29.524            349.444          29786.653
       -29.524            350.556          29786.139
       -29.524            351.667          29786.651
       -29.524            352.778          29788.310
       -29.524            353.889          29791.258
       -29.524            355.000          29795.709
       -29.524            356.111          29801.929
       -29.524            357.222          29810.316
       -29.524            358.333          29821.464
       -29.524            359.444          29836.389
       -28.571              0.556          29824.028
       -28.571              1.667          29848.112
       -28.571              2.778          29888.336
       -28.571              3.889          35483.859
       -28.571              5.000          35476.845
       -28.571              6.111          35470.410
       -28.571              7.222          35464.571
       -28.571              8.333          35459.355
       -28.571              9.444          35454.803
       -28.571             10.556          35450.949
       -28.571             11.667          35447.837
       -28.571             12.778          35445.523
       -28.571             13.889          35444.069
       -28.571             15.000          35443.547
       -28.571             16.111          35444.062
       -28.571             17.222          35445.737
       -28.571             18.333          35448.719
       -28.571             19.444          35453.215
       -28.571             20.556          35459.506
       -28.571             21.667          35468.003
       -28.571             22.778          35479.327
       -28.571             23.889          35494.513
       -28.571             25.000          35515.619
       -28.571             26.111          35548.130
       -28.571             27.222          41163.402
       -28.571             28.333          41156.192
       -28.571             29.444          41149.556
       -28.571             30.556          41143.501
       -28.571             31.667          41138.068
       -28.571             32.778          41133.286
       -28.571             33.889          41129.182
       -28.571             35.000          41125.807
       -28.571             36.111          41123.208
       -28.571             37.222          41121.447
       -28.571             38.333          41120.596
       -28.571             39.444          41120.737
       -28.571             40.556          41121.991
       -28.571             41.667          41124.498
       -28.571             42.778          41128.441
       -28.571             43.889          41134.077
       -28.571             45.000          41141.755
       -28.571             46.111          41152.001
       -28.571             47.222          41165.684
       -28.571             48.333          41184.394
       -28.571             49.444          41211.814
       -28.571             50.556          41264.289
       -28.571             51.667          46835.608
       -28.571             52.778          46828.772
       -28.571             53.889          46822.514
       -28.571             55.000          46816.860
       -28.571             56.111          46811.846
       -28.571             57.222          46807.505
       -28.571             58.333          46803.876
       -28.571             59.444          46800.999
       -28.571             60.556          46798.941
       -28.571             61.667          46797.759
       -28.571             62.778          42974.069
       -28.571             63.889          42930.767
       -28.571             65.000          42907.489
       -28.571             66.111          42893.303
       -28.571             67.222          42885.350
       -28.571             68.333          42882.541
       -28.571             69.444          42884.557
       -28.571             70.556          42891.612
       -28.571             71.667          42904.658
       -28.571             72.778          42926.086
       -28.571             73.889          42964.141
       -28.571             75.000          48562.329
       -28.571             76.111          48556.318
       -28.571             77.222          48551.778
       -28.571             78.333          48548.660
       -28.571             79.444          48546.930
       -28.571             80.556          48546.583
       -28.571             81.667          48547.602
       -28.571             82.778          48550.007
       -28.571             83.889          48553.819
       -28.571             85.000          48559.075
       -28.571             86.111          43008.040
       -28.571             87.222          42942.271
       -28.571             88.333          42914.287
       -28.571             89.444          42897.428
       -28.571             90.556          42887.495
       -28.571             91.667          42882.970
       -28.571             92.778          42883.305
       -28.571             93.889          42888.550
       -28.571             95.000          42899.353
       -28.571             96.111          42917.421
       -28.571             97.222          42947.786
       -28.571             98.333          48564.769
       -28.571             99.444          48558.234
       -28.571            100.556          48553.192
       -28.571            101.667          48549.580
       -28.571            102.778          48547.372
       -28.571            103.889          48546.546
       -28.571            105.000          48547.094
       -28.571            106.111          48549.015
       -28.571            107.222          48552.335
       -28.571            108.333          48557.083
       -28.571            109.444          48563.310
       -28.571            110.556          42956.837
       -28.571            111.667          42922.345
       -28.571            112.778          42902.367
       -28.571            113.889          42890.278
       -28.571            115.000          42883.969
       -28.571            116.111          42882.649
       -28.571            117.222          42886.152
       -28.571            118.333          42894.899
       -28.571            119.444          42910.143
       -28.571            240.556          42708.246
       -28.571            241.667          42708.864
       -28.571            242.778          42710.410
