                                                 28 Nov 2023 15:59:33
Civil Air Patrol Use Only
FigureOfMerit-revisittime


                         Coverage Properties                         
---------------------------------------------------------------------
LatLon Region Coverage                                               
Grid Altitude: 0.0000 (km)                                           
Ground Altitude set from grid altitude reference (On ellipsoid)      
Resolution: 1.0000 (deg)                                             
Number of Points: 14472                                              
Assets required for a valid access: At Least 1                       
Assigned Assets:                                                     
    Satellite/mysat/Sensor/mysen:    Active                          
Access Interval: 28 Nov 2023 04:00:00.000 to 29 Nov 2023 04:00:00.000
Regional Acceleration: Automatic                                     
Light time delay: Ignored                                            
Maximum Sampling Time Step: 360.000 secs                             
Minimum Sampling Time Step: 0.010 secs                               
Time Convergence: 5.000e-03 secs                                     
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14           


                 FOM Properties                 
------------------------------------------------
Maximum Revisit Time                            
Minimum number of assets required: 1            
Gaps at ends of analysis interval are considered
Satisfaction is not enabled                     
FOM value range check is not enabled.           


Latitude (deg)    Longitude (deg)    FOM Value (sec)
       -20.952            117.368          42534.612
       -20.952            118.421          42538.594
       -20.952            119.474          42544.767
       -20.952            240.526          42565.195
       -20.952            241.579          42569.904
       -20.952            242.632          42575.235
       -20.952            243.684          42581.160
       -20.952            244.737          42587.656
       -20.952            245.789          42594.703
       -20.952            246.842          37059.882
       -20.952            247.895          36974.627
       -20.952            248.947          36944.148
       -20.952            250.000          36924.058
       -20.952            251.053          36909.538
       -20.952            252.105          36898.691
       -20.952            253.158          36890.537
       -20.952            254.211          36884.496
       -20.952            255.263          36880.178
       -20.952            256.316          36877.314
       -20.952            257.368          36875.705
       -20.952            258.421          36875.204
       -20.952            259.474          36875.694
       -20.952            260.526          36877.084
       -20.952            261.579          36879.298
       -20.952            262.632          36882.278
       -20.952            263.684          36885.971
       -20.952            264.737          36890.337
       -20.952            265.789          36895.341
       -20.952            266.842          36900.952
       -20.952            267.895          36907.146
       -20.952            268.947          36913.902
       -20.952            270.000          36921.201
       -20.952            271.053          31323.904
       -20.952            272.105          31281.526
       -20.952            273.158          31256.903
       -20.952            274.211          31239.753
       -20.952            275.263          31227.109
       -20.952            276.316          31217.612
       -20.952            277.368          31210.507
       -20.952            278.421          31205.305
       -20.952            279.474          31201.698
       -20.952            280.526          31199.438
       -20.952            281.579          31198.363
       -20.952            282.632          31198.338
       -20.952            283.684          31199.258
       -20.952            284.737          31201.041
       -20.952            285.789          31203.620
       -20.952            286.842          31206.939
       -20.952            287.895          31210.951
       -20.952            288.947          31215.619
       -20.952            290.000          31220.910
       -20.952            291.053          31226.796
       -20.952            292.105          31233.255
       -20.952            293.158          31240.267
       -20.952            294.211          31247.818
       -20.952            295.263          25623.330
       -20.952            296.316          25591.792
       -20.952            297.368          25571.223
       -20.952            298.421          25556.410
       -20.952            299.474          25545.358
       -20.952            300.526          25537.048
       -20.952            301.579          25530.881
       -20.952            302.632          25526.459
       -20.952            303.684          25523.507
       -20.952            304.737          25521.819
       -20.952            305.789          25521.249
       -20.952            306.842          25521.677
       -20.952            307.895          25523.010
       -20.952            308.947          25525.173
       -20.952            310.000          25528.103
       -20.952            311.053          25531.751
       -20.952            312.105          25536.074
       -20.952            313.158          25541.037
       -20.952            314.211          25546.609
       -20.952            315.263          25552.765
       -20.952            316.316          25559.485
       -20.952            317.368          25566.749
       -20.952            318.421          23634.257
       -20.952            319.474          23633.870
       -20.952            320.526          23634.121
       -20.952            321.579          23980.578
       -20.952            322.632          23973.205
       -20.952            323.684          23966.374
       -20.952            324.737          23960.105
       -20.952            325.789          23954.412
       -20.952            326.842          23949.319
       -20.952            327.895          23944.863
       -20.952            328.947          23941.076
       -20.952            330.000          23937.999
       -20.952            331.053          23935.671
       -20.952            332.105          23934.166
       -20.952            333.158          23933.544
       -20.952            334.211          23933.903
       -20.952            335.263          23935.355
       -20.952            336.316          23938.035
       -20.952            337.368          23942.135
       -20.952            338.421          23947.919
       -20.952            339.474          23955.754
       -20.952            340.526          23966.179
       -20.952            341.579          23980.113
       -20.952            342.632          23999.262
       -20.952            343.684          24027.740
       -20.952            344.737          24087.290
       -20.952            345.789          29654.050
       -20.952            346.842          29646.924
       -20.952            347.895          29640.351
       -20.952            348.947          29634.350
       -20.952            350.000          29628.936
       -20.952            351.053          29624.139
       -20.952            352.105          29619.990
       -20.952            353.158          29616.523
       -20.952            354.211          29613.790
       -20.952            355.263          29611.840
       -20.952            356.316          29610.740
       -20.952            357.368          29610.562
       -20.952            358.421          29611.413
       -20.952            359.474          29613.421
       -20.000              0.526          29594.856
       -20.000              1.579          29598.671
       -20.000              2.632          29604.125
       -20.000              3.684          29611.560
       -20.000              4.737          29621.489
       -20.000              5.789          29634.761
       -20.000              6.842          29652.908
       -20.000              7.895          29679.448
       -20.000              8.947          29729.063
       -20.000             10.000          35313.330
       -20.000             11.053          35306.053
       -20.000             12.105          35299.329
       -20.000             13.158          35293.175
       -20.000             14.211          35287.607
       -20.000             15.263          35282.649
       -20.000             16.316          35278.338
       -20.000             17.368          35274.708
       -20.000             18.421          35271.804
       -20.000             19.474          35269.671
       -20.000             20.526          35268.377
       -20.000             21.579          35267.992
       -20.000             22.632          35268.621
       -20.000             23.684          35270.386
       -20.000             24.737          35273.434
       -20.000             25.789          35277.973
       -20.000             26.842          35284.299
       -20.000             27.895          35292.826
       -20.000             28.947          35304.181
       -20.000             30.000          35319.467
       -20.000             31.053          35340.862
       -20.000             32.105          35374.386
       -20.000             33.158          40994.403
       -20.000             34.211          40986.844
       -20.000             35.263          40979.821
       -20.000             36.316          40973.359
       -20.000             37.368          40967.478
       -20.000             38.421          40962.189
       -20.000             39.474          40957.534
       -20.000             40.526          40953.536
       -20.000             41.579          40950.234
       -20.000             42.632          40947.682
       -20.000             43.684          40945.932
       -20.000             44.737          40945.056
       -20.000             45.789          40945.131
       -20.000             46.842          40946.272
       -20.000             47.895          40948.616
       -20.000             48.947          40952.328
       -20.000             50.000          40957.665
       -20.000             51.053          40964.957
       -20.000             52.105          40974.701
       -20.000             53.158          40987.716
       -20.000             54.211          41005.470
       -20.000             55.263          41031.255
       -20.000             56.316          41077.834
       -20.000             57.368          42643.095
       -20.000             58.421          42603.353
       -20.000             59.474          42575.667
       -20.000             60.526          42554.469
       -20.000             61.579          42537.692
       -20.000             62.632          42524.319
       -20.000             63.684          42513.755
       -20.000             64.737          42505.628
       -20.000             65.789          42499.708
       -20.000             66.842          42495.833
       -20.000             67.895          42493.916
       -20.000             68.947          42493.905
       -20.000             70.000          42495.812
       -20.000             71.053          42499.679
       -20.000             72.105          42505.588
       -20.000             73.158          42513.693
       -20.000             74.211          42524.241
       -20.000             75.263          42537.598
       -20.000             76.316          42554.350
       -20.000             77.368          42575.520
       -20.000             78.421          42603.159
       -20.000             79.474          42642.776
       -20.000             80.526          42676.758
       -20.000             81.579          42622.320
       -20.000             82.632          42589.401
       -20.000             83.684          42565.119
       -20.000             84.737          42546.160
       -20.000             85.789          42531.065
       -20.000             86.842          42519.064
       -20.000             87.895          42509.673
       -20.000             88.947          42502.602
       -20.000             90.000          42497.647
       -20.000             91.053          42494.694
       -20.000             92.105          42493.674
       -20.000             93.158          42494.561
       -20.000             94.211          42497.368
       -20.000             95.263          42502.176
       -20.000             96.316          42509.086
       -20.000             97.368          42518.302
       -20.000             98.421          42530.105
       -20.000             99.474          42544.948
       -20.000            100.526          42563.595
       -20.000            101.579          42587.427
       -20.000            102.632          42619.511
       -20.000            103.684          42671.066
       -20.000            104.737          42646.490
       -20.000            105.789          42605.495
       -20.000            106.842          42577.256
       -20.000            107.895          42555.715
       -20.000            108.947          42538.683
       -20.000            110.000          42525.107
       -20.000            111.053          42514.372
       -20.000            112.105          42506.093
       -20.000            113.158          42500.034
       -20.000            114.211          42496.027
       -20.000            115.263          42493.983
       -20.000            116.316          42493.847
       -20.000            117.368          42495.627
       -20.000            118.421          42499.363
       -20.000            119.474          42505.133
       -20.000            240.526          42527.547
       -20.000            241.579          42541.747
       -20.000            242.632          42559.566
       -20.000            243.684          42566.175
       -20.000            244.737          42573.081
       -20.000            245.789          42580.532
       -20.000            246.842          36972.071
       -20.000            247.895          36934.066
       -20.000            248.947          36910.936
       -20.000            250.000          36894.646
       -20.000            251.053          36882.596
       -20.000            252.105          36873.558
       -20.000            253.158          36866.824
       -20.000            254.211          36861.941
       -20.000            255.263          36858.609
       -20.000            256.316          36856.597
       -20.000            257.368          36855.749
       -20.000            258.421          36855.932
       -20.000            259.474          36857.048
       -20.000            260.526          36859.015
       -20.000            261.579          36861.770
       -20.000            262.632          36865.257
       -20.000            263.684          36869.432
       -20.000            264.737          36874.258
       -20.000            265.789          36879.708
       -20.000            266.842          36885.748
       -20.000            267.895          36892.354
       -20.000            268.947          36899.517
       -20.000            270.000          31339.384
       -20.000            271.053          31274.343
       -20.000            272.105          31245.157
       -20.000            273.158          31225.706
       -20.000            274.211          31211.604
       -20.000            275.263          31201.073
       -20.000            276.316          31193.179
       -20.000            277.368          31187.353
       -20.000            278.421          31183.228
       -20.000            279.474          31180.536
       -20.000            280.526          31179.087
       -20.000            281.579          31178.734
       -20.000            282.632          31179.365
       -20.000            283.684          31180.887
       -20.000            284.737          31183.230
       -20.000            285.789          31186.332
       -20.000            286.842          31190.146
       -20.000            287.895          31194.630
       -20.000            288.947          31199.749
       -20.000            290.000          31205.475
       -20.000            291.053          31211.784
       -20.000            292.105          31218.654
       -20.000            293.158          31226.069
       -20.000            294.211          25621.764
       -20.000            295.263          25581.995
       -20.000            296.316          25558.250
       -20.000            297.368          25541.613
       -20.000            298.421          25529.331
       -20.000            299.474          25520.120
       -20.000            300.526          25513.250
       -20.000            301.579          25508.255
       -20.000            302.632          25504.830
       -20.000            303.684          25502.736
       -20.000            304.737          25501.816
       -20.000            305.789          25501.934
       -20.000            306.842          25502.992
       -20.000            307.895          25504.905
       -20.000            308.947          25507.609
       -20.000            310.000          25511.050
       -20.000            311.053          25515.181
       -20.000            312.105          25519.966
       -20.000            313.158          25525.376
       -20.000            314.211          25531.376
       -20.000            315.263          25537.946
       -20.000            316.316          25545.073
       -20.000            317.368          23674.544
       -20.000            318.421          23673.321
       -20.000            319.474          23672.863
       -20.000            320.526          23673.164
       -20.000            321.579          23674.232
       -20.000            322.632          23958.876
       -20.000            323.684          23951.638
       -20.000            324.737          23944.950
       -20.000            325.789          23938.835
       -20.000            326.842          23933.306
       -20.000            327.895          23928.389
       -20.000            328.947          23924.122
       -20.000            330.000          23920.538
       -20.000            331.053          23917.683
       -20.000            332.105          23915.604
       -20.000            333.158          23914.367
       -20.000            334.211          23914.045
       -20.000            335.263          23914.744
       -20.000            336.316          23916.589
       -20.000            337.368          23919.728
       -20.000            338.421          23924.375
       -20.000            339.474          23930.831
       -20.000            340.526          23939.522
       -20.000            341.579          23951.095
       -20.000            342.632          23966.696
       -20.000            343.684          23988.625
       -20.000            344.737          24023.463
       -20.000            345.789          29639.933
       -20.000            346.842          29632.409
       -20.000            347.895          29625.423
       -20.000            348.947          29618.998
       -20.000            350.000          29613.156
       -20.000            351.053          29607.907
       -20.000            352.105          29603.295
       -20.000            353.158          29599.341
       -20.000            354.211          29596.087
       -20.000            355.263          29593.585
       -20.000            356.316          29591.891
       -20.000            357.368          29591.075
       -20.000            358.421          29591.216
       -20.000            359.474          29592.431
       -19.048              0.526          29573.567
       -19.048              1.579          29576.435
       -19.048              2.632          29580.780
       -19.048              3.684          29586.878
       -19.048              4.737          29595.123
       -19.048              5.789          29606.144
       -19.048              6.842          29620.974
       -19.048              7.895          29641.641
       -19.048              8.947          29673.559
       -19.048             10.000          35299.299
       -19.048             11.053          35291.627
       -19.048             12.105          35284.492
       -19.048             13.158          35277.917
       -19.048             14.211          35271.922
       -19.048             15.263          35266.523
       -19.048             16.316          35261.746
       -19.048             17.368          35257.629
       -19.048             18.421          35254.210
       -19.048             19.474          35251.533
       -19.048             20.526          35249.653
       -19.048             21.579          35248.636
       -19.048             22.632          35248.563
       -19.048             23.684          35249.546
       -19.048             24.737          35251.719
       -19.048             25.789          35255.243
       -19.048             26.842          35260.363
       -19.048             27.895          35267.406
       -19.048             28.947          35276.859
       -19.048             30.000          35289.485
       -19.048             31.053          35306.681
       -19.048             32.105          35331.490
       -19.048             33.158          35374.727
       -19.048             34.211          40972.623
       -19.048             35.263          40965.206
       -19.048             36.316          40958.328
       -19.048             37.368          40952.021
       -19.048             38.421          40946.303
       -19.048             39.474          40941.188
       -19.048             40.526          40936.717
       -19.048             41.579          40932.924
       -19.048             42.632          40929.840
       -19.048             43.684          40927.526
       -19.048             44.737          40926.040
       -19.048             45.789          40925.457
       -19.048             46.842          40925.862
       -19.048             47.895          40927.381
       -19.048             48.947          40930.159
       -19.048             50.000          40934.397
       -19.048             51.053          40940.371
       -19.048             52.105          40948.464
       -19.048             53.158          40959.272
       -19.048             54.211          40973.804
       -19.048             55.263          40993.987
       -19.048             56.316          36999.315
       -19.048             57.368          42587.009
       -19.048             58.421          42555.095
       -19.048             59.474          42531.065
       -19.048             60.526          42512.043
       -19.048             61.579          42496.717
       -19.048             62.632          42484.363
       -19.048             63.684          42474.526
       -19.048             64.737          42466.927
       -19.048             65.789          42461.362
       -19.048             66.842          42457.716
       -19.048             67.895          42455.911
       -19.048             68.947          42455.907
       -19.048             70.000          42457.699
       -19.048             71.053          42461.333
       -19.048             72.105          42466.887
       -19.048             73.158          42474.471
       -19.048             74.211          42484.290
       -19.048             75.263          42496.629
       -19.048             76.316          42511.942
       -19.048             77.368          42530.933
       -19.048             78.421          42554.928
       -19.048             79.474          42586.771
       -19.048             80.526          36999.191
       -19.048             81.579          42570.805
       -19.048             82.632          42543.127
       -19.048             83.684          42521.654
       -19.048             84.737          42504.476
       -19.048             85.789          42490.609
       -19.048             86.842          42479.475
       -19.048             87.895          42470.711
       -19.048             88.947          42464.083
       -19.048             90.000          42459.426
       -19.048             91.053          42456.645
       -19.048             92.105          42455.682
       -19.048             93.158          42456.518
       -19.048             94.211          42459.164
       -19.048             95.263          42463.681
       -19.048             96.316          42470.164
       -19.048             97.368          42478.765
       -19.048             98.421          42489.721
       -19.048             99.474          42503.378
       -19.048            100.526          42520.287
       -19.048            101.579          42541.398
       -19.048            102.632          42568.533
       -19.048            103.684          37000.901
       -19.048            104.737          37029.396
       -19.048            105.789          42556.908
       -19.048            106.842          42532.472
       -19.048            107.895          42513.171
       -19.048            108.947          42497.630
       -19.048            110.000          42485.094
       -19.048            111.053          42475.101
       -19.048            112.105          42467.363
       -19.048            113.158          42461.668
       -19.048            114.211          42457.898
       -19.048            115.263          42455.974
       -19.048            116.316          42455.852
       -19.048            117.368          42457.524
       -19.048            118.421          42461.036
       -19.048            119.474          42466.459
       -19.048            240.526          42487.359
       -19.048            241.579          42500.446
       -19.048            242.632          42516.657
       -19.048            243.684          42536.835
       -19.048            244.737          42558.786
       -19.048            245.789          36978.187
       -19.048            246.842          36925.798
       -19.048            247.895          36898.674
       -19.048            248.947          36880.271
       -19.048            250.000          36866.851
       -19.048            251.053          36856.830
       -19.048            252.105          36849.343
       -19.048            253.158          36843.865
       -19.048            254.211          36840.032
       -19.048            255.263          36837.601
       -19.048            256.316          36836.388
       -19.048            257.368          36836.252
       -19.048            258.421          36837.083
       -19.048            259.474          36838.795
       -19.048            260.526          36841.316
       -19.048            261.579          36844.590
       -19.048            262.632          36848.568
       -19.048            263.684          36853.211
       -19.048            264.737          36858.485
       -19.048            265.789          36864.367
       -19.048            266.842          36870.826
       -19.048            267.895          36877.845
       -19.048            268.947          36885.408
       -19.048            270.000          31270.548
       -19.048            271.053          31234.635
       -19.048            272.105          31212.325
       -19.048            273.158          31196.527
       -19.048            274.211          31184.835
       -19.048            275.263          31176.076
       -19.048            276.316          31169.581
       -19.048            277.368          31164.907
       -19.048            278.421          31161.757
       -19.048            279.474          31159.914
       -19.048            280.526          31159.220
       -19.048            281.579          31159.548
       -19.048            282.632          31160.800
       -19.048            283.684          31162.898
       -19.048            284.737          31165.777
       -19.048            285.789          31169.385
       -19.048            286.842          31173.678
       -19.048            287.895          31178.620
       -19.048            288.947          31184.180
       -19.048            290.000          31190.332
       -19.048            291.053          31197.054
       -19.048            292.105          31204.330
       -19.048            293.158          25630.909
       -19.048            294.211          25574.132
       -19.048            295.263          25546.171
       -19.048            296.316          25527.348
       -19.048            297.368          25513.662
       -19.048            298.421          25503.449
       -19.048            299.474          25495.813
       -19.048            300.526          25490.216
       -19.048            301.579          25486.283
       -19.048            302.632          25483.765
       -19.048            303.684          25482.477
       -19.048            304.737          25482.274
       -19.048            305.789          25483.045
       -19.048            306.842          25484.701
       -19.048            307.895          25487.171
       -19.048            308.947          25490.396
       -19.048            310.000          25494.329
       -19.048            311.053          25498.929
       -19.048            312.105          25504.163
       -19.048            313.158          25510.007
       -19.048            314.211          25516.427
       -19.048            315.263          25523.410
       -19.048            316.316          25530.938
       -19.048            317.368          23715.734
       -19.048            318.421          23714.250
       -19.048            319.474          23713.694
       -19.048            320.526          23714.063
       -19.048            321.579          23715.351
       -19.048            322.632          23944.822
       -19.048            323.684          23937.181
       -19.048            324.737          23930.086
       -19.048            325.789          23923.549
       -19.048            326.842          23917.593
       -19.048            327.895          23912.234
       -19.048            328.947          23907.498
       -19.048            330.000          23903.427
       -19.048            331.053          23900.054
       -19.048            332.105          23897.430
       -19.048            333.158          23895.603
       -19.048            334.211          23894.646
       -19.048            335.263          23894.638
       -19.048            336.316          23895.695
       -19.048            337.368          23897.951
       -19.048            338.421          23901.573
       -19.048            339.474          23906.807
       -19.048            340.526          23913.991
       -19.048            341.579          23923.625
       -19.048            342.632          23936.499
       -19.048            343.684          23954.073
       -19.048            344.737          23979.587
       -19.048            345.789          24025.291
       -19.048            346.842          29618.166
       -19.048            347.895          29610.781
       -19.048            348.947          29603.940
       -19.048            350.000          29597.670
       -19.048            351.053          29591.992
       -19.048            352.105          29586.918
       -19.048            353.158          29582.490
       -19.048            354.211          29578.743
       -19.048            355.263          29575.708
       -19.048            356.316          29573.446
       -19.048            357.368          29572.018
       -19.048            358.421          29571.496
       -19.048            359.474          29571.970
       -18.095              0.526          29552.828
       -18.095              1.579          29554.823
       -18.095              2.632          29558.155
       -18.095              3.684          29563.060
       -18.095              4.737          29569.856
       -18.095              5.789          29578.997
       -18.095              6.842          29591.238
       -18.095              7.895          29607.887
       -18.095              8.947          29631.745
       -18.095             10.000          29672.101
       -18.095             11.053          35277.468
       -18.095             12.105          35269.932
       -18.095             13.158          35262.948
       -18.095             14.211          35256.530
       -18.095             15.263          35250.699
       -18.095             16.316          35245.475
       -18.095             17.368          35240.884
       -18.095             18.421          35236.968
       -18.095             19.474          35233.764
       -18.095             20.526          35231.325
       -18.095             21.579          35229.703
       -18.095             22.632          35228.975
       -18.095             23.684          35229.226
       -18.095             24.737          35230.581
       -18.095             25.789          35233.181
       -18.095             26.842          35237.216
       -18.095             27.895          35242.951
       -18.095             28.947          35250.771
       -18.095             30.000          35261.250
       -18.095             31.053          35275.331
       -18.095             32.105          35294.825
       -18.095             33.158          35324.248
       -18.095             34.211          35392.282
       -18.095             35.263          40950.856
       -18.095             36.316          40943.583
       -18.095             37.368          40936.857
       -18.095             38.421          40930.711
       -18.095             39.474          40925.160
       -18.095             40.526          40920.225
       -18.095             41.579          40915.947
       -18.095             42.632          40912.361
       -18.095             43.684          40909.503
       -18.095             44.737          40907.436
       -18.095             45.789          40906.222
       -18.095             46.842          40905.942
       -18.095             47.895          40906.691
       -18.095             48.947          40908.609
       -18.095             50.000          40911.847
       -18.095             51.053          40916.642
       -18.095             52.105          40923.299
       -18.095             53.158          40932.266
       -18.095             54.211          40944.272
       -18.095             55.263          36947.114
       -18.095             56.316          36909.373
       -18.095             57.368          36919.318
       -18.095             58.421          42509.843
       -18.095             59.474          42488.440
       -18.095             60.526          42471.123
       -18.095             61.579          42456.983
       -18.095             62.632          42445.486
       -18.095             63.684          42436.279
       -18.095             64.737          42429.125
       -18.095             65.789          42423.880
       -18.095             66.842          42420.434
       -18.095             67.895          42418.726
       -18.095             68.947          42418.722
       -18.095             70.000          42420.423
       -18.095             71.053          42423.853
       -18.095             72.105          42429.088
       -18.095             73.158          42436.228
       -18.095             74.211          42445.422
       -18.095             75.263          42456.905
       -18.095             76.316          42471.030
       -18.095             77.368          42488.326
       -18.095             78.421          42509.693
       -18.095             79.474          36919.519
       -18.095             80.526          36909.320
       -18.095             81.579          36946.415
       -18.095             82.632          42499.255
       -18.095             83.684          42479.914
       -18.095             84.737          42464.162
       -18.095             85.789          42451.312
       -18.095             86.842          42440.916
       -18.095             87.895          42432.693
       -18.095             88.947          42426.445
       -18.095             90.000          42422.053
       -18.095             91.053          42419.422
       -18.095             92.105          42418.510
       -18.095             93.158          42419.300
       -18.095             94.211          42421.806
       -18.095             95.263          42426.073
       -18.095             96.316          42432.183
       -18.095             97.368          42440.255
       -18.095             98.421          42450.490
       -18.095             99.474          42463.154
       -18.095            100.526          42478.674
       -18.095            101.579          42497.720
       -18.095            102.632          36956.341
       -18.095            103.684          36909.984
       -18.095            104.737          36917.339
       -18.095            105.789          42511.427
       -18.095            106.842          42489.714
       -18.095            107.895          42472.157
       -18.095            108.947          42457.828
       -18.095            110.000          42446.170
       -18.095            111.053          42436.820
       -18.095            112.105          42429.535
       -18.095            113.158          42424.168
       -18.095            114.211          42420.607
       -18.095            115.263          42418.784
       -18.095            116.316          42418.669
       -18.095            117.368          42420.258
       -18.095            118.421          42423.572
       -18.095            119.474          42428.686
       -18.095            240.526          42448.287
       -18.095            241.579          42460.440
       -18.095            242.632          42475.353
       -18.095            243.684          42493.635
       -18.095            244.737          42516.338
       -18.095            245.789          36912.801
       -18.095            246.842          36887.477
       -18.095            247.895          36866.491
       -18.095            248.947          36851.497
       -18.095            250.000          36840.379
       -18.095            251.053          36832.074
       -18.095            252.105          36825.946
       -18.095            253.158          36821.590
       -18.095            254.211          36818.715
       -18.095            255.263          36817.122
       -18.095            256.316          36816.654
       -18.095            257.368          36817.190
       -18.095            258.421          36818.637
       -18.095            259.474          36820.918
       -18.095            260.526          36823.971
       -18.095            261.579          36827.746
       -18.095            262.632          36832.199
       -18.095            263.684          36837.297
       -18.095            264.737          36843.009
       -18.095            265.789          36849.313
       -18.095            266.842          36856.183
       -18.095            267.895          36863.605
       -18.095            268.947          31273.522
       -18.095            270.000          31225.748
       -18.095            271.053          31199.733
       -18.095            272.105          31181.928
       -18.095            273.158          31168.921
       -18.095            274.211          31159.217
       -18.095            275.263          31151.991
       -18.095            276.316          31146.734
       -18.095            277.368          31143.099
       -18.095            278.421          31140.844
       -18.095            279.474          31139.793
       -18.095            280.526          31139.808
       -18.095            281.579          31140.780
       -18.095            282.632          31142.625
       -18.095            283.684          31145.273
       -18.095            284.737          31148.674
       -18.095            285.789          31152.770
       -18.095            286.842          31157.528
       -18.095            287.895          31162.916
       -18.095            288.947          31168.906
       -18.095            290.000          31175.475
       -18.095            291.053          31182.604
       -18.095            292.105          31190.276
       -18.095            293.158          25569.213
       -18.095            294.211          25535.208
       -18.095            295.263          25513.698
       -18.095            296.316          25498.394
       -18.095            297.368          25487.060
       -18.095            298.421          25478.592
       -18.095            299.474          25472.335
       -18.095            300.526          25467.872
       -18.095            301.579          25464.908
       -18.095            302.632          25463.235
       -18.095            303.684          25462.697
       -18.095            304.737          25463.170
       -18.095            305.789          25464.560
       -18.095            306.842          25466.788
       -18.095            307.895          25469.792
       -18.095            308.947          25473.520
       -18.095            310.000          25477.930
       -18.095            311.053          25482.986
       -18.095            312.105          25488.659
       -18.095            313.158          25494.925
       -18.095            314.211          25501.758
       -18.095            315.263          25509.144
       -18.095            316.316          23762.087
       -18.095            317.368          23759.064
       -18.095            318.421          23757.243
       -18.095            319.474          23756.571
       -18.095            320.526          23757.012
       -18.095            321.579          23758.601
       -18.095            322.632          23761.375
       -18.095            323.684          23923.000
       -18.095            324.737          23915.500
       -18.095            325.789          23908.552
       -18.095            326.842          23902.172
       -18.095            327.895          23896.381
       -18.095            328.947          23891.197
       -18.095            330.000          23886.649
       -18.095            331.053          23882.779
       -18.095            332.105          23879.624
       -18.095            333.158          23877.237
       -18.095            334.211          23875.671
       -18.095            335.263          23875.005
       -18.095            336.316          23875.324
       -18.095            337.368          23876.756
       -18.095            338.421          23879.443
       -18.095            339.474          23883.583
       -18.095            340.526          23889.440
       -18.095            341.579          23897.415
       -18.095            342.632          23908.097
       -18.095            343.684          23922.463
       -18.095            344.737          23942.420
       -18.095            345.789          23972.839
       -18.095            346.842          24060.492
       -18.095            347.895          29596.405
       -18.095            348.947          29589.167
       -18.095            350.000          29582.478
       -18.095            351.053          29576.372
       -18.095            352.105          29570.860
       -18.095            353.158          29565.967
       -18.095            354.211          29561.733
       -18.095            355.263          29558.195
       -18.095            356.316          29555.386
       -18.095            357.368          29553.373
       -18.095            358.421          29552.218
       -18.095            359.474          29552.002
       -17.143              0.526          29532.591
       -17.143              1.579          29533.778
       -17.143              2.632          29536.193
       -17.143              3.684          29540.024
       -17.143              4.737          29545.524
       -17.143              5.789          29553.072
       -17.143              6.842          29563.201
       -17.143              7.895          29576.829
       -17.143              8.947          29595.652
       -17.143             10.000          29623.734
       -17.143             11.053          29681.844
       -17.143             12.105          35255.648
       -17.143             13.158          35248.262
       -17.143             14.211          35241.427
       -17.143             15.263          35235.168
       -17.143             16.316          35229.508
       -17.143             17.368          35224.463
       -17.143             18.421          35220.064
       -17.143             19.474          35216.354
       -17.143             20.526          35213.373
       -17.143             21.579          35211.178
       -17.143             22.632          35209.823
       -17.143             23.684          35209.392
       -17.143             24.737          35209.979
       -17.143             25.789          35211.722
       -17.143             26.842          35214.766
       -17.143             27.895          35219.346
       -17.143             28.947          35225.743
       -17.143             30.000          35234.412
       -17.143             31.053          35246.038
       -17.143             32.105          35261.797
       -17.143             33.158          35284.142
       -17.143             34.211          35320.366
       -17.143             35.263          40936.780
       -17.143             36.316          40929.104
       -17.143             37.368          40921.977
       -17.143             38.421          40915.413
       -17.143             39.474          40909.428
       -17.143             40.526          40904.051
       -17.143             41.579          40899.302
       -17.143             42.632          40895.222
       -17.143             43.684          40891.849
       -17.143             44.737          40889.225
       -17.143             45.789          40887.409
       -17.143             46.842          40886.476
       -17.143             47.895          40886.508
       -17.143             48.947          40887.620
       -17.143             50.000          40889.949
       -17.143             51.053          40893.675
